TradingSymbol,Date,EntryPrice,ExitPrice,Qty,ProfitLoss,Transaction,ExitType,Cumulative
BANKNIFTY21N1838600CE,12/11/2021,458.10 Time:09:17,437.95 Time:03:26,25,503.75,SELL,SQUAREOFF,503.75
BANKNIFTY21N1838800PE,12/11/2021,411.85 Time:09:17,322.00 Time:03:26,25,2246.25,SELL,SQUAREOFF,2246.25
BANKNIFTY21N1838800PE,15/11/2021,375.30 Time:11:47,288.45 Time:03:26,25,2171.25,SELL,SQUAREOFF,4417.50
BANKNIFTY21N1839000CE,15/11/2021,319.75 Time:09:17,199.70 Time:03:26,25,3001.25,SELL,SQUAREOFF,3001.25
BANKNIFTY21N1839200PE,15/11/2021,353.80 Time:09:17,495.30 Time:10:20,25,-3537.50,SELL,SHORT_SL,-3537.50
BANKNIFTY21N1838900PE,15/11/2021,309.00 Time:10:21,432.60 Time:11:46,25,-3090.00,SELL,SHORT_SL,-3090.00
BANKNIFTY21N1838500CE,16/11/2021,365.00 Time:09:17,180.65 Time:03:26,25,4608.75,SELL,SQUAREOFF,4608.75
BANKNIFTY21N1838700PE,16/11/2021,341.95 Time:09:17,478.75 Time:02:24,25,-3420.00,SELL,SHORT_SL,-3420.00
BANKNIFTY21N1838400PE,16/11/2021,294.00 Time:02:25,298.85 Time:03:26,25,-121.25,SELL,SQUAREOFF,-121.25
BANKNIFTY21N1837900CE,17/11/2021,331.25 Time:09:17,463.75 Time:09:45,25,-3312.50,SELL,SHORT_SL,-3312.50
BANKNIFTY21N1837900CE,18/11/2021,102.80 Time:02:54,143.90 Time:02:56,25,-1027.50,SELL,SHORT_SL,-4340.00
BANKNIFTY21N1837900CE,18/11/2021,139.85 Time:02:57,195.75 Time:02:57,25,-1397.50,SELL,SHORT_SL,-5737.50
BANKNIFTY21N1838100PE,17/11/2021,279.45 Time:09:17,221.25 Time:03:26,25,1455.00,SELL,SQUAREOFF,1455.00
BANKNIFTY21N1838100PE,18/11/2021,200.65 Time:09:32,280.95 Time:10:20,25,-2007.50,SELL,SHORT_SL,-552.50
BANKNIFTY21N1838100PE,18/11/2021,143.90 Time:02:51,43.20 Time:02:57,25,2517.50,SELL,SHORT_TARGET,1965.00
BANKNIFTY21N1838200CE,17/11/2021,302.95 Time:09:46,137.20 Time:03:26,25,4143.75,SELL,SQUAREOFF,4143.75
BANKNIFTY21N1838000CE,18/11/2021,262.50 Time:09:17,78.70 Time:10:39,25,4595.00,SELL,SHORT_TARGET,4595.00
BANKNIFTY21N1838000CE,18/11/2021,174.50 Time:02:58,52.30 Time:03:03,25,3055.00,SELL,SHORT_TARGET,7650.00
BANKNIFTY21N1838200PE,18/11/2021,193.60 Time:09:17,271.00 Time:09:31,25,-1935.00,SELL,SHORT_SL,-1935.00
BANKNIFTY21N1838200PE,18/11/2021,72.00 Time:02:58,100.80 Time:02:58,25,-720.00,SELL,SHORT_SL,-2655.00
BANKNIFTY21N1838200PE,18/11/2021,91.15 Time:02:59,127.65 Time:03:01,25,-912.50,SELL,SHORT_SL,-3567.50
BANKNIFTY21N1838000PE,18/11/2021,211.40 Time:10:21,63.40 Time:02:50,25,3700.00,SELL,SHORT_TARGET,3700.00
BANKNIFTY21N1837700CE,18/11/2021,209.90 Time:10:40,293.90 Time:10:53,25,-2100.00,SELL,SHORT_SL,-2100.00
BANKNIFTY21N1837700CE,18/11/2021,136.20 Time:02:37,190.70 Time:02:37,25,-1362.50,SELL,SHORT_SL,-3462.50
BANKNIFTY21N1837800CE,18/11/2021,225.40 Time:10:54,67.60 Time:02:36,25,3945.00,SELL,SHORT_TARGET,3945.00
BANKNIFTY21N1837800CE,18/11/2021,110.30 Time:02:38,154.40 Time:02:44,25,-1102.50,SELL,SHORT_SL,2842.50
BANKNIFTY21N1837800CE,18/11/2021,141.05 Time:02:45,197.45 Time:02:53,25,-1410.00,SELL,SHORT_SL,1432.50
BANKNIFTY21NOV37800CE,22/11/2021,459.55 Time:09:17,137.85 Time:12:20,25,8042.50,SELL,SHORT_TARGET,8042.50
BANKNIFTY21NOV38000PE,22/11/2021,361.30 Time:09:17,505.80 Time:09:29,25,-3612.50,SELL,SHORT_SL,-3612.50
BANKNIFTY21NOV37800PE,22/11/2021,399.00 Time:09:30,558.60 Time:11:12,25,-3990.00,SELL,SHORT_SL,-3990.00
BANKNIFTY21NOV37500PE,22/11/2021,378.20 Time:11:13,529.50 Time:12:07,25,-3782.50,SELL,SHORT_SL,-3782.50
BANKNIFTY21NOV37500PE,24/11/2021,300.15 Time:09:17,90.05 Time:12:20,25,5252.50,SELL,SHORT_TARGET,1470.00
BANKNIFTY21NOV37500PE,25/11/2021,159.15 Time:02:29,47.75 Time:02:56,25,2785.00,SELL,SHORT_TARGET,4255.00
BANKNIFTY21NOV37300PE,22/11/2021,397.00 Time:12:08,555.80 Time:02:17,25,-3970.00,SELL,SHORT_SL,-3970.00
BANKNIFTY21NOV37300PE,23/11/2021,294.00 Time:12:07,411.60 Time:12:45,25,-2940.00,SELL,SHORT_SL,-6910.00
BANKNIFTY21NOV37000CE,22/11/2021,450.00 Time:12:21,472.40 Time:03:26,25,-560.00,SELL,SQUAREOFF,-560.00
BANKNIFTY21NOV37000PE,22/11/2021,387.25 Time:02:18,542.15 Time:02:32,25,-3872.50,SELL,SHORT_SL,-3872.50
BANKNIFTY21NOV37000PE,23/11/2021,391.50 Time:09:17,548.10 Time:09:23,25,-3915.00,SELL,SHORT_SL,-7787.50
BANKNIFTY21NOV36900PE,22/11/2021,450.60 Time:02:33,170.35 Time:03:26,25,7006.25,SELL,SQUAREOFF,7006.25
BANKNIFTY21NOV36800CE,23/11/2021,426.05 Time:09:17,596.45 Time:09:52,25,-4260.00,SELL,SHORT_SL,-4260.00
BANKNIFTY21NOV36800PE,23/11/2021,405.20 Time:09:24,121.60 Time:12:06,25,7090.00,SELL,SHORT_TARGET,7090.00
